holdet_person_id,holdet_rider_name,pcs_rider_id,pcs_rider_name,holdet_team_name,manager_holdet_player_id,manager_category,manager_is_out,trading_holdet_player_id,trading_start_price,trading_price,trading_points,trading_popularity,trading_is_out,results_2026_rows,race_days_2026,distinct_races_2026,stage_rows_2026,classification_rows_2026,wins_2026,podiums_2026,top10s_2026,pcs_points_2026_total,uci_points_2026_total,last_result_date_2026,gt_stage_rows_2025,gt_stage_days_2025,gt_count_2025,giro_stage_rows_2025,tour_stage_rows_2025,vuelta_stage_rows_2025,best_gt_stage_result_2025,best_gt_gc_result_2025,best_gt_points_result_2025,best_gt_kom_result_2025,best_gt_youth_result_2025,gt_stage_wins_2025,gt_stage_top5s_2025,gt_stage_top10s_2025
4392,Thymen Arensman,thymen-arensman,Arensman Thymen,INEOS Grenadiers,46605,Kategori 2,f,47403,7500000,7500000,0.00,,f,15,12,2,15,0,0,1,3,119.00,128.00,2026-03-15,42,42,2,21,21,0,1,12,18,4,,2,3,4
4660,Jonathan Milan,jonathan-milan,Milan Jonathan,Lidl - Trek,46580,Kategori 1,f,47373,11500000,11500000,0.00,,f,29,23,7,29,0,8,9,12,312.00,338.00,2026-04-12,21,21,1,0,21,0,1,146,1,,41,2,4,4
4876,Derek Gee,derek-gee,Gee-West Derek,Lidl - Trek,46550,Kategori 2,f,47339,8000000,8000000,0.00,,f,15,13,3,15,0,0,0,3,108.00,170.00,2026-03-27,21,21,1,21,0,0,5,4,27,43,,0,1,5
3277,Giulio Ciccone,giulio-ciccone,Ciccone Giulio,Lidl - Trek,46566,Kategori 2,f,47357,8000000,8000000,0.00,,f,20,15,3,20,0,1,1,7,144.00,248.00,2026-03-29,36,36,2,15,0,21,2,18,5,24,,0,6,10
3244,Max Walscheid,max-walscheid,Walscheid Max,Lidl - Trek,47298,Kategori 4,f,47388,3000000,3000000,0.00,,f,27,24,12,27,0,0,1,1,95.00,174.00,2026-04-12,0,0,0,0,0,0,,,,,,0,0,0
4904,Lennert Van Eetvelt,lennert-van-eetvelt,Van Eetvelt Lennert,Lotto Intermarché,46584,Kategori 2,f,47377,7500000,7500000,0.00,,f,18,15,5,18,0,0,2,5,166.00,283.00,2026-04-04,15,15,1,0,15,0,47,,,,,0,0,0
47214,Liam Slock,liam-slock,Slock Liam,Lotto Intermarché,46585,Kategori 4,f,47378,2500000,2500000,0.00,,f,38,31,11,38,0,0,0,1,23.00,21.00,2026-03-29,21,21,1,0,0,21,10,134,20,,50,0,0,1
50504,Simone Gualdi,simone-gualdi,GUALDI Simone,Lotto Intermarché,47316,Kategori 4,f,47402,3500000,3500000,0.00,,f,32,25,9,32,0,0,0,5,99.00,145.00,2026-03-29,0,0,0,0,0,0,,,,,,0,0,0
3543,Enric Mas Nicolau,enric-mas,Mas Enric,Movistar Team,46557,Kategori 2,f,47347,7000000,7000000,0.00,,f,12,10,4,12,0,0,1,1,44.00,28.14,2026-03-29,18,18,1,0,18,0,7,,,,,0,0,1
4653,Javier Romo,javier-romo,Javier Romo,Movistar Team,47314,Kategori 2,f,47367,6000000,6000000,0.00,,f,29,24,8,29,0,0,1,3,183.00,218.00,2026-04-11,16,16,1,0,0,16,2,,,,,0,2,3
4386,Einer Augusto Rubio,einer-rubio,Einer Augusto Rubio,Movistar Team,46555,Kategori 3,f,47345,5500000,5500000,0.00,,f,14,11,4,14,0,0,0,0,5.00,9.00,2026-03-29,42,42,2,21,21,0,5,8,71,12,,0,1,4
4381,Juan Pedro Lopez,juan-pedro-lopez,Juan Pedro Lopez,Movistar Team,46581,Kategori 3,f,47374,4000000,4000000,0.00,,f,27,22,7,27,0,0,0,2,24.00,40.00,2026-04-11,0,0,0,0,0,0,,,,,,0,0,0
2572,Nelson Oliveira,nelson-oliveira,Oliveira Nelson,Movistar Team,46597,Kategori 4,f,47393,3500000,3500000,0.00,,f,13,12,6,13,0,0,2,3,39.00,15.14,2026-04-16,21,21,1,0,21,0,15,74,116,,,0,0,0
4864,Corbin Strong,corbin-strong,Strong Corbin,NSN Cycling Team,47309,Kategori 2,f,47332,6500000,6500000,0.00,,f,22,19,7,22,0,1,3,7,227.00,534.00,2026-04-10,21,21,1,21,0,0,2,96,43,,22,0,1,1
4708,Ethan Vernon,ethan-vernon,Vernon Ethan,NSN Cycling Team,47295,Kategori 2,f,47348,8000000,8000000,0.00,,f,33,25,5,33,0,4,8,15,302.00,335.00,2026-04-10,21,21,1,0,0,21,2,142,6,,53,0,3,4
3772,Dion Smith,dion-smith,Smith Dion,NSN Cycling Team,47311,Kategori 4,f,47341,2500000,2500000,0.00,,f,26,23,8,26,0,0,0,0,20.00,0,2026-04-10,27,27,2,6,0,21,13,123,57,,,0,0,0
3812,Nick Schultz,nick-schultz,Schultz Nick,NSN Cycling Team,47299,Kategori 4,f,47394,3000000,3000000,0.00,,f,25,21,7,25,0,0,0,0,25.00,15.00,2026-04-10,21,21,1,21,0,0,51,106,,,,0,0,0
2585,David De La Cruz,david-de-la-cruz,de la Cruz David,Pinarello Q36.5 Pro Cycling Team,47310,Kategori 4,f,47336,3500000,3500000,0.00,,f,24,21,4,24,0,0,0,0,10.00,3.00,2026-03-29,21,21,1,0,0,21,8,102,,,,0,0,1
4940,Giulio Pellizzari,giulio-pellizzari,Pellizzari Giulio,Red Bull - BORA - hansgrohe,46567,Kategori 1,f,47358,9500000,9500000,0.00,,f,24,16,6,24,0,1,8,11,390.00,720.00,2026-03-21,42,42,2,21,0,21,1,6,28,15,2,1,4,7
2477,Danny Van Poppel,danny-van-poppel,van Poppel Danny,Red Bull - BORA - hansgrohe,46546,Kategori 2,f,47334,7000000,7000000,0.00,,f,18,18,7,18,0,0,0,1,23.00,25.00,2026-04-08,17,17,1,0,17,0,11,,,,,0,0,0
3890,Jai Hindley,jai-hindley,Hindley Jai,Red Bull - BORA - hansgrohe,46572,Kategori 2,f,47363,8000000,8000000,0.00,,f,17,14,2,17,0,0,0,0,48.00,44.00,2026-03-29,27,27,2,6,0,21,3,4,8,10,,0,5,9
4380,Aleksandr Vlasov,aleksandr-vlasov,Vlasov Aleksandr,Red Bull - BORA - hansgrohe,46537,Kategori 3,f,47324,6000000,6000000,0.00,,f,26,18,3,26,0,0,2,14,186.00,203.86,2026-03-15,21,21,1,0,21,0,6,27,84,19,,0,0,1
4588,Ben Zwiehoff,ben-zwiehoff,ZWIEHOFF Ben,Red Bull - BORA - hansgrohe,47294,Kategori 4,f,47329,2500000,2500000,0.00,,f,15,12,4,15,0,0,0,0,5.00,0,2026-03-29,21,21,1,0,0,21,4,51,,,,0,1,1
4680,Frederik Wandahl,frederik-wandahl,Wandahl Frederik,Red Bull - BORA - hansgrohe,46564,Kategori 4,f,47356,3000000,3000000,0.00,,f,21,19,9,21,0,0,0,0,5.00,0,2026-04-04,0,0,0,0,0,0,,,,,,0,0,0
47175,Paul Magnier,paul-magnier,Magnier Paul,Soudal Quick-Step,46600,Kategori 1,f,47397,9000000,9000000,0.00,,f,25,19,9,25,0,3,4,6,202.00,258.00,2026-04-05,16,16,1,16,0,0,3,,,,,0,1,3
2190,Mikel Landa,mikel-landa,Landa Mikel,Soudal Quick-Step,46595,Kategori 2,f,47391,7000000,7000000,0.00,,f,11,10,2,11,0,0,0,0,40.00,28.00,2026-04-08,22,22,2,1,0,21,2,27,22,9,,0,1,1
4508,Filippo Zana,filippo-zana,Zana Filippo,Soudal Quick-Step,46561,Kategori 3,f,47353,4500000,4500000,0.00,,f,27,20,5,27,0,2,4,8,318.00,455.00,2026-03-29,21,21,1,21,0,0,6,58,98,45,,0,0,1
2751,Jasper Stuyven,jasper-stuyven,Stuyven Jasper,Soudal Quick-Step,46574,Kategori 3,f,47366,4000000,4000000,0.00,,f,19,17,7,19,0,0,2,7,408.00,1197.00,2026-04-12,21,21,1,0,21,0,7,62,59,,,0,0,2
3546,Ben O'Connor,ben-o-connor,O'Connor Ben,Team Jayco AlUla,46541,Kategori 2,f,47328,7000000,7000000,0.00,,f,27,23,6,27,0,0,0,3,131.00,154.00,2026-03-29,34,34,2,0,21,13,1,11,43,5,,1,2,2
